Chart,4,source/org/jfree/chart/plot/XYPlot.java,4418_4,
Chart,7,source/org/jfree/data/time/TimePeriodValues.java,251_4,
Chart,19,source/org/jfree/chart/plot/CategoryPlot.java,684_4,962_4
Lang,7,src/main/java/org/apache/commons/lang3/math/NumberUtils.java,418_4,701_4
Lang,39,src/java/org/apache/commons/lang3/StringUtils.java,3557_4,
Lang,57,src/java/org/apache/commons/lang/LocaleUtils.java,216_4,
Lang,58,src/java/org/apache/commons/lang/math/NumberUtils.java,371_4,
Lang,59,src/java/org/apache/commons/lang/text/StrBuilder.java,867_4,
Math,59,src/main/java/org/apache/commons/math/util/FastMath.java,3476_4,
Math,75,src/main/java/org/apache/commons/math/stat/Frequency.java,291_4,
Math,79,src/main/java/org/apache/commons/math/util/MathUtils.java,1616_4,
Math,89,src/java/org/apache/commons/math/stat/Frequency.java,96_4,
